DIA;MES;TMED;TMAX;TMIN;Vel.Vento;UR MED;Chuva
1;1;27,4;35,8;23,2;7,0;99,9;11,2
2;1;28,7;36,3;24,1;6,2;99,0;8,5
3;1;27,0;31,6;24,4;7,0;99,9;2,4
4;1;26,8;34,3;21,9;7,7;93,4;0,0
5;1;27,0;34,1;20,3;7,7;87,4;0,0
6;1;27,0;34,3;20,1;5,5;83,8;0,0
7;1;27,8;35,0;20,5;7,0;79,3;0,0
8;1;27,2;35,2;21,0;9,2;91,3;0,0
9;1;25,2;32,7;21,7;15,2;99,9;28,2
10;1;26,4;31,9;24,4;10,7;99,9;14,9
11;1;25,7;28,5;23,6;6,2;99,9;27,4
12;1;25,2;27,6;24,5;9,2;99,9;55,9
13;1;28,7;36,1;24,7;7,0;99,9;2,2
14;1;27,2;35,4;24,4;8,5;99,9;43,5
15;1;26,0;30,3;23,9;6,2;99,9;26,0
16;1;26,3;32,9;21,1;10,0;89,2;0,0
17;1;25,8;34,6;18,6;8,5;84,3;0,0
18;1;25,9;32,3;22,6;9,2;88,7;0,0
19;1;24,7;30,7;21,0;10,0;89,3;0,0
20;1;24,3;31,0;19,8;10,0;88,5;0,0
21;1;24,5;31,6;19,3;10,7;79,7;0,0
22;1;23,6;31,7;16,8;10,0;82,8;0,0
23;1;24,8;32,4;17,7;10,7;88,9;0,5
24;1;25,0;33,0;19,3;7,7;94,1;0,0
25;1;27,0;34,9;19,7;7,7;88,8;0,0
26;1;28,2;35,5;21,3;7,7;87,6;0,0
27;1;27,0;35,6;22,5;13,0;99,9;10,6
28;1;29,0;37,2;23,2;8,5;94,1;0,0
29;1;26,8;32,8;23,9;7,7;99,9;13,2
30;1;28,3;35,6;24,5;7,0;98,3;0,3
31;1;29,6;36,7;22,5;7,7;79,3;0,0
1;2;28,6;35,9;20,8;6,2;81,6;0,0
2;2;28,7;36,6;21,6;8,5;82,4;0,0
3;2;28,6;36,6;21,5;7,0;83,1;0,0
4;2;26,6;33,6;22,5;8,5;89,6;0,6
5;2;25,9;35,8;21,6;9,2;94,8;0,0
6;2;25,5;32,6;21,4;10,7;99,4;9,8
